#  STO-3G  EMSL  Basis Set Exchange Library  9/28/18 8:49 AM
# Elements                             References
# --------                             ----------
#  H - Ne: W.J. Hehre, R.F. Stewart and J.A. Pople, J. Chem. Phys. 2657 (1969).
# Na - Ar: W.J. Hehre, R. Ditchfield, R.F. Stewart, J.A. Pople,
#          J. Chem. Phys.  2769 (1970).
# K,Ca - : W.J. Pietro, B.A. Levy, W.J. Hehre and R.F. Stewart,
# Ga - Kr: J. Am. Chem. Soc. 19, 2225 (1980).
# Sc - Zn: W.J. Pietro and W.J. Hehre, J. Comp. Chem. 4, 241 (1983) + Gaussian.
#  Y - Cd: W.J. Pietro and W.J. Hehre, J. Comp. Chem. 4, 241 (1983). + Gaussian
#   



# HYDROGEN
L   Cl
     -0.2196203690           2.1293864950           0.01058760429    
      0.2255954336           0.5940934274           0.59516700530    
      0.9003984260           0.2325241410           0.46200101200    

# ARGON
S   Ar
      0.1543289673         674.4465184        
      0.5353281423         122.8512753        
      0.4446345422          33.24834945       
L   Ar
     -0.09996722919         45.16424392             0.1559162750     
      0.39951282610         10.49519900             0.6076837186     
      0.70011546890          3.413364448            0.3919573931     
L   Ar
     -0.2196203690           2.6213665180           0.01058760429    
      0.2255954336           0.7313546050           0.59516700530    
      0.9003984260           0.2862472356           0.46200101200    


